Genre,Title,Plays
"",Peggle Deluxe,939.0
Adventure,Minecraft,33000.0
Arcade,Mario Kart 8 Deluxe,19000.0
Brawler,Marvel's Spider-Man,21000.0
Card & Board Game,Mario Party 4,3000.0
Fighting,Super Smash Bros. Ultimate,25000.0
Indie,Undertale,28000.0
MOBA,League of Legends,13000.0
Music,Hi-Fi Rush,3000.0
Platform,Portal 2,29000.0
Point-and-Click,The Walking Dead: Season One,12000.0
Puzzle,Portal 2,29000.0
Quiz/Trivia,Wordle,3000.0
RPG,The Legend of Zelda: Breath of the Wild,30000.0
Racing,Mario Kart Wii,19000.0
Real Time Strategy,Plants vs. Zombies,14000.0
Shooter,Grand Theft Auto V,30000.0
Simulator,Minecraft,33000.0
Sport,Rocket League,17000.0
Strategy,Among Us,25000.0
Tactical,Plants vs. Zombies,14000.0
Turn Based Strategy,Undertale,28000.0
Visual Novel,Doki Doki Literature Club!,14000.0
