TeamMember,Title,Plays
"\"\"\"DONT NOD\"\"",Life is Strange,15000.0
"\"\"Travellers Tales\"\"\"",LEGO Marvel Super Heroes,6000.0
"\"WB Games",LEGO Marvel Super Heroes,6000.0
(Archive) Square Product Development Division 4,Vagrant Story,1000.0
11 bit studios,Children of Morta,727.0
2K Boston,BioShock,17000.0
2K Games,BioShock Infinite,18000.0
3D: Doom Daddy Digital,Another Pokémon Game,59.0
5pb.,Chaos;Head Noah,199.0
8-4,Undertale,28000.0
A Grumpy Fox,Lunistice,305.0
Activision,Call of Duty: Modern Warfare 2,14000.0
Adult Swim Games,Jazzpunk,935.0
Agetec,Armored Core,522.0
Airdorf Games,Faith: The Unholy Trinity,253.0
Airship Syndicate,Ruined King: A League of Legends Story,413.0
Aksys Games,Guilty Gear Xrd: Rev 2,3000.0
Aniplex,Witch on the Holy Night,244.0
Annapurna Interactive,Twelve Minutes,4000.0
Arc System Works,Guilty Gear Xrd: Rev 2,3000.0
Ark Heiral,Chained Echoes,445.0
Arkane Studios,Dishonored,14000.0
Atlus,Persona 5,16000.0
Atlus USA,Persona 5,16000.0
B.B. Studio,Digimon World: Next Order,321.0
Bandai Namco Entertainment,Dark Souls III,19000.0
Bandai Namco Entertainment Europe,Digimon World: Next Order,321.0
Bandai Namco Games,Pac-Man World Re-Pac,368.0
Bedtime Digital Games,Figment,183.0
Bethesda Game Studios,The Elder Scrolls V: Skyrim,22000.0
Bethesda Softworks,The Elder Scrolls V: Skyrim,22000.0
Big Trash Games,Better Call Saul Kart,26.0
BioWare Edmonton,Dragon Age: Origins - Awakening,1000.0
Black Mermaid,Moonscars,248.0
BlitWorks,Super Meat Boy,10000.0
Blizzard Entertainment,Overwatch,19000.0
Blue Tongue Entertainment,Nicktoons Unite!,785.0
Brace Yourself Games,Phantom Brigade,16.0
Bungie,Halo: Reach,11000.0
CD Projekt,The Witcher 3: Wild Hunt - Game of the Year Edition,6000.0
CD Projekt RED,The Witcher 3: Wild Hunt,17000.0
Capcom,Resident Evil 2,15000.0
Capcom Development Division 1,Resident Evil 2,15000.0
Capcom Production Studio 1,Haunting Ground,597.0
Capcom Production Studio 4,Resident Evil 4,14000.0
Chucklefish Games,Stardew Valley,20000.0
Chunsoft,Dragon Quest II: Luminaries of the Legendary Line,891.0
ConcernedApe,Stardew Valley,20000.0
Creatures Inc.,EarthBound,9000.0
Criterion Games,Need for Speed: Hot Pursuit,2000.0
Crystal Dynamics,Tomb Raider,15000.0
Crytek Frankfurt,Crysis,3000.0
CyberConnect2,JoJo’s Bizarre Adventure: All-Star Battle R,796.0
